"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
New York - Albany,EIP,2018-19,2018,40,0-4 yr,0,0
New York - Albany,EIP,2018-19,2018,41,0-4 yr,0,0
New York - Albany,EIP,2018-19,2018,42,0-4 yr,0,0
New York - Albany,EIP,2018-19,2018,43,0-4 yr,0,0
New York - Albany,EIP,2018-19,2018,44,0-4 yr,0,0
New York - Albany,EIP,2018-19,2018,45,0-4 yr,1.9,1.9
New York - Albany,EIP,2018-19,2018,46,0-4 yr,1.9,0
New York - Albany,EIP,2018-19,2018,47,0-4 yr,1.9,0
New York - Albany,EIP,2018-19,2018,48,0-4 yr,3.7,1.9
New York - Albany,EIP,2018-19,2018,49,0-4 yr,3.7,0
New York - Albany,EIP,2018-19,2018,50,0-4 yr,11.1,7.4
New York - Albany,EIP,2018-19,2018,51,0-4 yr,14.9,3.7
New York - Albany,EIP,2018-19,2018,52,0-4 yr,22.3,7.4
New York - Albany,EIP,2018-19,2019,1,0-4 yr,24.1,1.9
New York - Albany,EIP,2018-19,2019,2,0-4 yr,26,1.9
New York - Albany,EIP,2018-19,2019,3,0-4 yr,26,0
New York - Albany,EIP,2018-19,2019,4,0-4 yr,35.3,9.3
New York - Albany,EIP,2018-19,2019,5,0-4 yr,40.9,5.6
New York - Albany,EIP,2018-19,2019,6,0-4 yr,48.3,7.4
New York - Albany,EIP,2018-19,2019,7,0-4 yr,57.6,9.3
New York - Albany,EIP,2018-19,2019,8,0-4 yr,59.4,1.9
New York - Albany,EIP,2018-19,2019,9,0-4 yr,59.4,0
New York - Albany,EIP,2018-19,2019,10,0-4 yr,63.1,3.7
New York - Albany,EIP,2018-19,2019,11,0-4 yr,66.8,3.7
New York - Albany,EIP,2018-19,2019,12,0-4 yr,72.4,5.6
New York - Albany,EIP,2018-19,2019,13,0-4 yr,74.3,1.9
New York - Albany,EIP,2018-19,2019,14,0-4 yr,78,3.7
New York - Albany,EIP,2018-19,2019,15,0-4 yr,78,0
New York - Albany,EIP,2018-19,2019,16,0-4 yr,83.6,5.6
New York - Albany,EIP,2018-19,2019,17,0-4 yr,89.1,5.6
New York - Albany,EIP,2018-19,2018,40,5-17 yr,0,0
New York - Albany,EIP,2018-19,2018,41,5-17 yr,0,0
New York - Albany,EIP,2018-19,2018,42,5-17 yr,0,0
New York - Albany,EIP,2018-19,2018,43,5-17 yr,0,0
New York - Albany,EIP,2018-19,2018,44,5-17 yr,0,0
New York - Albany,EIP,2018-19,2018,45,5-17 yr,0,0
New York - Albany,EIP,2018-19,2018,46,5-17 yr,0,0
New York - Albany,EIP,2018-19,2018,47,5-17 yr,0.7,0.7
New York - Albany,EIP,2018-19,2018,48,5-17 yr,0.7,0
New York - Albany,EIP,2018-19,2018,49,5-17 yr,1.3,0.7
New York - Albany,EIP,2018-19,2018,50,5-17 yr,1.3,0
New York - Albany,EIP,2018-19,2018,51,5-17 yr,2,0.7
New York - Albany,EIP,2018-19,2018,52,5-17 yr,3.3,1.3
New York - Albany,EIP,2018-19,2019,1,5-17 yr,3.3,0
New York - Albany,EIP,2018-19,2019,2,5-17 yr,4,0.7
New York - Albany,EIP,2018-19,2019,3,5-17 yr,6,2
New York - Albany,EIP,2018-19,2019,4,5-17 yr,8,2
New York - Albany,EIP,2018-19,2019,5,5-17 yr,10.7,2.7
New York - Albany,EIP,2018-19,2019,6,5-17 yr,14.7,4
New York - Albany,EIP,2018-19,2019,7,5-17 yr,16.7,2
New York - Albany,EIP,2018-19,2019,8,5-17 yr,20,3.3
New York - Albany,EIP,2018-19,2019,9,5-17 yr,21.3,1.3
New York - Albany,EIP,2018-19,2019,10,5-17 yr,25.3,4
New York - Albany,EIP,2018-19,2019,11,5-17 yr,28,2.7
New York - Albany,EIP,2018-19,2019,12,5-17 yr,31.3,3.3
New York - Albany,EIP,2018-19,2019,13,5-17 yr,35.3,4
New York - Albany,EIP,2018-19,2019,14,5-17 yr,36,0.7
New York - Albany,EIP,2018-19,2019,15,5-17 yr,36.7,0.7
New York - Albany,EIP,2018-19,2019,16,5-17 yr,36.7,0
New York - Albany,EIP,2018-19,2019,17,5-17 yr,38.7,2
New York - Albany,EIP,2018-19,2018,40,18-49 yr,0,0
New York - Albany,EIP,2018-19,2018,41,18-49 yr,0,0
New York - Albany,EIP,2018-19,2018,42,18-49 yr,0,0
New York - Albany,EIP,2018-19,2018,43,18-49 yr,0,0
New York - Albany,EIP,2018-19,2018,44,18-49 yr,0,0
New York - Albany,EIP,2018-19,2018,45,18-49 yr,0,0
New York - Albany,EIP,2018-19,2018,46,18-49 yr,0,0
New York - Albany,EIP,2018-19,2018,47,18-49 yr,0,0
New York - Albany,EIP,2018-19,2018,48,18-49 yr,0,0
New York - Albany,EIP,2018-19,2018,49,18-49 yr,0,0
New York - Albany,EIP,2018-19,2018,50,18-49 yr,0.5,0.5
New York - Albany,EIP,2018-19,2018,51,18-49 yr,0.9,0.5
New York - Albany,EIP,2018-19,2018,52,18-49 yr,2.3,1.4
New York - Albany,EIP,2018-19,2019,1,18-49 yr,3,0.7
New York - Albany,EIP,2018-19,2019,2,18-49 yr,4.2,1.2
New York - Albany,EIP,2018-19,2019,3,18-49 yr,5.6,1.4
New York - Albany,EIP,2018-19,2019,4,18-49 yr,7.7,2.1
New York - Albany,EIP,2018-19,2019,5,18-49 yr,8.8,1.2
New York - Albany,EIP,2018-19,2019,6,18-49 yr,10.9,2.1
New York - Albany,EIP,2018-19,2019,7,18-49 yr,13.9,3
New York - Albany,EIP,2018-19,2019,8,18-49 yr,16.3,2.3
New York - Albany,EIP,2018-19,2019,9,18-49 yr,17.7,1.4
New York - Albany,EIP,2018-19,2019,10,18-49 yr,19.7,2.1
New York - Albany,EIP,2018-19,2019,11,18-49 yr,22.5,2.8
New York - Albany,EIP,2018-19,2019,12,18-49 yr,24.9,2.3
New York - Albany,EIP,2018-19,2019,13,18-49 yr,26.5,1.6
New York - Albany,EIP,2018-19,2019,14,18-49 yr,28.6,2.1
New York - Albany,EIP,2018-19,2019,15,18-49 yr,29.7,1.2
New York - Albany,EIP,2018-19,2019,16,18-49 yr,30.7,0.9
New York - Albany,EIP,2018-19,2019,17,18-49 yr,31.1,0.5
New York - Albany,EIP,2018-19,2018,40,50-64 yr,0,0
New York - Albany,EIP,2018-19,2018,41,50-64 yr,0,0
New York - Albany,EIP,2018-19,2018,42,50-64 yr,0,0
New York - Albany,EIP,2018-19,2018,43,50-64 yr,0,0
New York - Albany,EIP,2018-19,2018,44,50-64 yr,0.5,0.5
New York - Albany,EIP,2018-19,2018,45,50-64 yr,0.5,0
New York - Albany,EIP,2018-19,2018,46,50-64 yr,0.5,0
New York - Albany,EIP,2018-19,2018,47,50-64 yr,0.5,0
New York - Albany,EIP,2018-19,2018,48,50-64 yr,0.5,0
New York - Albany,EIP,2018-19,2018,49,50-64 yr,1.4,0.9
New York - Albany,EIP,2018-19,2018,50,50-64 yr,3.6,2.3
New York - Albany,EIP,2018-19,2018,51,50-64 yr,4.5,0.9
New York - Albany,EIP,2018-19,2018,52,50-64 yr,7.7,3.2
New York - Albany,EIP,2018-19,2019,1,50-64 yr,11.3,3.6
New York - Albany,EIP,2018-19,2019,2,50-64 yr,17.6,6.3
New York - Albany,EIP,2018-19,2019,3,50-64 yr,23,5.4
New York - Albany,EIP,2018-19,2019,4,50-64 yr,27.1,4.1
New York - Albany,EIP,2018-19,2019,5,50-64 yr,34.3,7.2
